id,name,description,owner_id,start_date,end_date,status,team_members,company,progress,team_id,team_name,manager_id,teamlead_id
PRJ0032,UX Research Repository,"UX Research Repository for the Design organization with clear delivery, reporting, and adoption milestones.",EMP011,2026-04-11,2026-07-26,planning,"EMP011,EMP025,EMP026,EMP027",TechCorp HyperScale Delivery Command,26,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0033,Accessibility Pattern Library,"Accessibility Pattern Library for the Design organization with clear delivery, reporting, and adoption milestones.",EMP011,2026-04-17,2026-08-19,active,"EMP011,EMP025,EMP026,EMP027",TechCorp HyperScale Delivery Command,79,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0034,Customer Insights Board,"Customer Insights Board for the Design organization with clear delivery, reporting, and adoption milestones.",EMP011,2026-04-23,2026-09-12,on-hold,"EMP011,EMP025,EMP026,EMP027",TechCorp HyperScale Delivery Command,51,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0035,Prototype Review Program,"Prototype Review Program for the Design organization with clear delivery, reporting, and adoption milestones.",EMP011,2026-04-29,2026-10-06,completed,"EMP011,EMP025,EMP026,EMP027",TechCorp HyperScale Delivery Command,100,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0036,Cloud Security Hardening,"Cloud Security Hardening for the IT organization with clear delivery, reporting, and adoption milestones.",EMP012,2026-05-05,2026-07-14,active,"EMP012,EMP022,EMP030,EMP031",TechCorp HyperScale Delivery Command,61,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0037,Identity Access Refresh,"Identity Access Refresh for the IT organization with clear delivery, reporting, and adoption milestones.",EMP004,2026-05-11,2026-08-07,planning,"EMP018,EMP019,EMP021,EMP042",TechCorp HyperScale Delivery Command,26,TEAM001,Code Comets,EMP004,EMP010
PRJ0038,Observability Control Tower,"Observability Control Tower for the IT organization with clear delivery, reporting, and adoption milestones.",EMP012,2026-05-17,2026-08-31,active,"EMP012,EMP022,EMP030,EMP031",TechCorp HyperScale Delivery Command,79,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0039,Network Resilience Program,"Network Resilience Program for the IT organization with clear delivery, reporting, and adoption milestones.",EMP004,2026-05-23,2026-09-24,on-hold,"EMP021,EMP042,EMP046,EMP010",TechCorp HyperScale Delivery Command,59,TEAM001,Code Comets,EMP004,EMP010
PRJ0040,Infrastructure Cost Guardrails,"Infrastructure Cost Guardrails for the IT organization with clear delivery, reporting, and adoption milestones.",EMP012,2026-05-29,2026-10-18,completed,"EMP012,EMP022,EMP030,EMP031",TechCorp HyperScale Delivery Command,100,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0041,Regression Intelligence Suite,"Regression Intelligence Suite for the Quality Assurance organization with clear delivery, reporting, and adoption milestones.",EMP014,2026-06-04,2026-11-11,active,"EMP014,EMP028,EMP029,EMP037",TechCorp HyperScale Delivery Command,61,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0042,Automation Coverage Drive,"Automation Coverage Drive for the Quality Assurance organization with clear delivery, reporting, and adoption milestones.",EMP014,2026-06-10,2026-08-19,planning,"EMP014,EMP028,EMP029,EMP037",TechCorp HyperScale Delivery Command,26,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0043,Quality Signal Dashboard,"Quality Signal Dashboard for the Quality Assurance organization with clear delivery, reporting, and adoption milestones.",EMP014,2026-06-16,2026-09-12,active,"EMP014,EMP028,EMP029,EMP037",TechCorp HyperScale Delivery Command,79,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0044,Release Validation Pipeline,"Release Validation Pipeline for the Quality Assurance organization with clear delivery, reporting, and adoption milestones.",EMP014,2026-06-22,2026-10-06,on-hold,"EMP014,EMP028,EMP029,EMP037",TechCorp HyperScale Delivery Command,35,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0045,Defect Triage Workflow,"Defect Triage Workflow for the Quality Assurance organization with clear delivery, reporting, and adoption milestones.",EMP014,2026-06-28,2026-10-30,completed,"EMP014,EMP028,EMP029,EMP037",TechCorp HyperScale Delivery Command,100,TEAM005,Quota Crushers,EMP008,EMP014
